"","CALBRA","CASARB","CASSYL","CORSUL","DAPPHI","GUAGUI","INGLAU","LASLAN","MATDOM","MAYELO","MICLAE","MICPRA","MICRAC","MIRCHR","MYRFAL","OCOSIN","RHEPOR","RONPOR","SAMSPI","TABOPP"
"250",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"300",1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
"350",0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"400",0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
"450",0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
"500",0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
"550",0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"600",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"650",0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
"700",0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"750",0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"800",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
"850",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"900",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
